data,ativo,preco,setup,score,decisao,direcao,entrada,stop,alvo
25/07/2026 12:15:12,,177805.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
25/07/2026 12:15:13,,177805.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
25/07/2026 12:15:14,,177805.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
25/07/2026 12:15:15,,177805.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
25/07/2026 12:15:17,,177805.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
25/07/2026 12:15:18,,177805.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
25/07/2026 12:15:19,,177805.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:22:50,,175695.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:22:51,,175690.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:22:52,,175690.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:22:53,,175695.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:22:55,,175695.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:22:56,,175700.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:22:57,,175700.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:22:59,,175705.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
27/07/2026 08:23:00,,175670.0,NENHUM,0,"{'acao': 'NÃO OPERAR', 'confianca': 0, 'motivo': ['Score abaixo do mínimo', 'Setup inválido', 'Estrutura fraca', 'Lado inválido']}",,,,
